# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	605	868	-							SAVERM_RS00450	264		
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	605	868	-	WP_237528682.1	WP_237528682.1		DUF6199 family natural product biosynthesis protein			SAVERM_RS00450	264	87	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	1033	1326	-							SAVERM_RS00455	294		
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	1033	1326	-	WP_037651945.1	WP_037651945.1		hypothetical protein			SAVERM_RS00455	294	97	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	1380	1811	-							SAVERM_RS00460	432		old_locus_tag=SAV_1,SAVERM_1
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	1380	1811	-	WP_010981437.1	WP_010981437.1		hypothetical protein			SAVERM_RS00460	432	143	
gene	pseudogene	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	2382	2690	+							SAVERM_RS39020	309		partial;pseudo;old_locus_tag=SAV_2,SAVERM_2
CDS	without_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	2382	2690	+				DEAD/DEAH box helicase family protein			SAVERM_RS39020	309		partial;pseudo
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	2765	3310	+							SAVERM_RS00465	546		old_locus_tag=SAV_3,SAVERM_3
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	2765	3310	+	WP_010981439.1	WP_010981439.1		endonuclease VII domain-containing protein			SAVERM_RS00465	546	181	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	3433	3912	-							SAVERM_RS00470	480		old_locus_tag=SAV_4,SAVERM_4
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	3433	3912	-	WP_037651948.1	WP_037651948.1		hypothetical protein			SAVERM_RS00470	480	159	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	4078	4932	+							SAVERM_RS00475	855		old_locus_tag=SAV_5,SAVERM_5
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	4078	4932	+	WP_042494090.1	WP_042494090.1		CGNR zinc finger domain-containing protein			SAVERM_RS00475	855	284	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	4936	7563	+							SAVERM_RS00480	2628		old_locus_tag=SAV_6,SAVERM_6
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	4936	7563	+	WP_010981442.1	WP_010981442.1		DEAD/DEAH box helicase			SAVERM_RS00480	2628	875	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	7667	7798	+							SAVERM_RS45190	132		
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	7667	7798	+	WP_255253769.1	WP_255253769.1		hypothetical protein			SAVERM_RS45190	132	43	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	7827	9626	+							SAVERM_RS00485	1800		old_locus_tag=SAV_7,SAVERM_7
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	7827	9626	+	WP_242432120.1	WP_242432120.1		site-specific integrase			SAVERM_RS00485	1800	599	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	9722	10075	+							SAVERM_RS44035	354		
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	9722	10075	+	WP_052082438.1	WP_052082438.1		DUF6262 family protein			SAVERM_RS44035	354	117	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	10632	10805	-							SAVERM_RS39025	174		old_locus_tag=SAV_9,SAVERM_9
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	10632	10805	-	WP_010981445.1	WP_010981445.1		tyrosine-type recombinase/integrase			SAVERM_RS39025	174	57	
gene	protein_coding	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	11101	13497	-							SAVERM_RS00495	2397		old_locus_tag=SAV_10,SAVERM_10
CDS	with_protein	GCF_000009765.2	Primary Assembly	chromosome		NC_003155.5	11101	13497	-	WP_010981446.1	WP_010981446.1		hypothetical protein			SAVERM_RS00495	2397	798	
