# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	30	1508	+					dnaA		AAY81_RS00005	1479		old_locus_tag=AAY81_00005
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	30	1508	+	WP_066659806.1	WP_066659806.1		chromosomal replication initiator protein DnaA	dnaA		AAY81_RS00005	1479	492	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	1738	2835	+					dnaN		AAY81_RS00010	1098		old_locus_tag=AAY81_00010
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	1738	2835	+	WP_066659811.1	WP_066659811.1		DNA polymerase III subunit beta	dnaN		AAY81_RS00010	1098	365	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	2843	4009	+					recF		AAY81_RS00015	1167		old_locus_tag=AAY81_00015
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	2843	4009	+	WP_082867750.1	WP_082867750.1		DNA replication and repair protein RecF	recF		AAY81_RS00015	1167	388	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	3999	4535	+							AAY81_RS00020	537		old_locus_tag=AAY81_00020
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	3999	4535	+	WP_240480594.1	WP_240480594.1		DUF721 domain-containing protein			AAY81_RS00020	537	178	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	4692	6632	+					gyrB		AAY81_RS00025	1941		old_locus_tag=AAY81_00025
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	4692	6632	+	WP_066659816.1	WP_066659816.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		AAY81_RS00025	1941	646	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	6772	9309	+					gyrA		AAY81_RS00030	2538		old_locus_tag=AAY81_00030
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	6772	9309	+	WP_066664646.1	WP_066664646.1		DNA gyrase subunit A	gyrA		AAY81_RS00030	2538	845	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	9404	9907	-							AAY81_RS00035	504		old_locus_tag=AAY81_00035
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	9404	9907	-	WP_066659819.1	WP_066659819.1		bifunctional nuclease family protein			AAY81_RS00035	504	167	
gene	tRNA	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	10027	10103	+							AAY81_RS00040	77		old_locus_tag=AAY81_00040
tRNA		GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	10027	10103	+				tRNA-Ile			AAY81_RS00040	77		anticodon=GAT
gene	tRNA	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	10189	10264	+							AAY81_RS00045	76		old_locus_tag=AAY81_00045
tRNA		GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	10189	10264	+				tRNA-Ala			AAY81_RS00045	76		anticodon=TGC
gene	pseudogene	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	11476	11601	+							AAY81_RS10655	126		partial;pseudo
CDS	without_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	11476	11601	+				hypothetical protein			AAY81_RS10655	126		partial;pseudo
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	11775	12944	+							AAY81_RS00055	1170		old_locus_tag=AAY81_00055
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	11775	12944	+	WP_066659824.1	WP_066659824.1		MFS transporter			AAY81_RS00055	1170	389	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	13066	14298	+							AAY81_RS00060	1233		old_locus_tag=AAY81_00060
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	13066	14298	+	WP_143117295.1	WP_143117295.1		ATP-binding cassette domain-containing protein			AAY81_RS00060	1233	410	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	14355	16667	+							AAY81_RS00065	2313		old_locus_tag=AAY81_00065
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	14355	16667	+	WP_169815761.1	WP_169815761.1		FtsX-like permease family protein			AAY81_RS00065	2313	770	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	16628	17443	+							AAY81_RS00070	816		old_locus_tag=AAY81_00070
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	16628	17443	+	WP_169815762.1	WP_169815762.1		hypothetical protein			AAY81_RS00070	816	271	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	17618	18163	+							AAY81_RS00075	546		old_locus_tag=AAY81_00075
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	17618	18163	+	WP_066664651.1	WP_066664651.1		J domain-containing protein			AAY81_RS00075	546	181	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	18182	19996	+					typA		AAY81_RS00080	1815		old_locus_tag=AAY81_00080
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	18182	19996	+	WP_066659834.1	WP_066659834.1		translational GTPase TypA	typA		AAY81_RS00080	1815	604	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	20161	22008	+							AAY81_RS00085	1848		old_locus_tag=AAY81_00085
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	20161	22008	+	WP_143117306.1	WP_143117306.1		FAD-binding protein			AAY81_RS00085	1848	615	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	22105	23484	-							AAY81_RS00090	1380		old_locus_tag=AAY81_00090
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	22105	23484	-	WP_066659838.1	WP_066659838.1		helix-turn-helix transcriptional regulator			AAY81_RS00090	1380	459	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	23581	24525	-							AAY81_RS00095	945		old_locus_tag=AAY81_00095
CDS	with_protein	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	23581	24525	-	WP_082867755.1	WP_082867755.1		MarR family transcriptional regulator			AAY81_RS00095	945	314	
gene	protein_coding	GCF_001643775.1	Primary Assembly	chromosome		NZ_CP011402.1	24781	25035	+							AAY81_RS00100	255		old_locus_tag=AAY81_00100
