# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	1	1563	+					dnaA	69509484	LUA64_RS00005	1563		
CDS	with_protein	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	1	1563	+	WP_114518311.1	WP_114518311.1		chromosomal replication initiator protein DnaA	dnaA	69509484	LUA64_RS00005	1563	520	
gene	protein_coding	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	1926	3026	+					dnaN	69509485	LUA64_RS00010	1101		
CDS	with_protein	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	1926	3026	+	WP_009305587.1	WP_009305587.1		DNA polymerase III subunit beta	dnaN	69509485	LUA64_RS00010	1101	366	
gene	protein_coding	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	3045	4307	+						69509486	LUA64_RS00015	1263		
CDS	with_protein	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	3045	4307	+	WP_009305588.1	WP_009305588.1		DNA replication/repair protein RecF		69509486	LUA64_RS00015	1263	420	
gene	protein_coding	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	4304	4879	+						69509487	LUA64_RS00020	576		
CDS	with_protein	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	4304	4879	+	WP_009305589.1	WP_009305589.1		hypothetical protein		69509487	LUA64_RS00020	576	191	
gene	protein_coding	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	5045	6997	+					gyrB	69509488	LUA64_RS00025	1953		
CDS	with_protein	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	5045	6997	+	WP_157011223.1	WP_157011223.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	69509488	LUA64_RS00025	1953	650	
gene	protein_coding	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	7351	9867	+					gyrA	69509489	LUA64_RS00030	2517		
CDS	with_protein	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	7351	9867	+	WP_229033406.1	WP_229033406.1		DNA gyrase subunit A	gyrA	69509489	LUA64_RS00030	2517	838	
gene	protein_coding	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	10237	11904	+						69509490	LUA64_RS00035	1668		
CDS	with_protein	GCF_021378605.1	Primary Assembly	chromosome		NZ_CP089331.1	10237	11904	+	WP_009305592.1	WP_009305592.1		MATE family efflux transporter		69509490	LUA64_RS00035	1668	555	
