# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	1	1404	+					dnaA	66506314	JRC41_RS00005	1404		old_locus_tag=JRC41_00005
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	1	1404	+	WP_000059119.1	WP_000059119.1		chromosomal replication initiator protein DnaA	dnaA	66506314	JRC41_RS00005	1404	467	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	1409	2509	+					dnaN	66506315	JRC41_RS00010	1101		old_locus_tag=JRC41_00010
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	1409	2509	+	WP_000673456.1	WP_000673456.1		DNA polymerase III subunit beta	dnaN	66506315	JRC41_RS00010	1101	366	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	2509	3582	+					recF	66506316	JRC41_RS00015	1074		old_locus_tag=JRC41_00015
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	2509	3582	+	WP_000060124.1	WP_000060124.1		DNA replication/repair protein RecF	recF	66506316	JRC41_RS00015	1074	357	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	3611	6025	+					gyrB	66506317	JRC41_RS00020	2415		old_locus_tag=JRC41_00020
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	3611	6025	+	WP_044710531.1	WP_044710531.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	66506317	JRC41_RS00020	2415	804	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	6265	6663	+						66506318	JRC41_RS00025	399		old_locus_tag=JRC41_00025
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	6265	6663	+	WP_000522194.1	WP_000522194.1		YidB family protein		66506318	JRC41_RS00025	399	132	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	6778	7590	+					yidA	66506319	JRC41_RS00030	813		old_locus_tag=JRC41_00030
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	6778	7590	+	WP_000985584.1	WP_000985584.1		sugar-phosphatase	yidA	66506319	JRC41_RS00030	813	270	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	7634	8290	-						66506320	JRC41_RS00035	657		old_locus_tag=JRC41_00035
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	7634	8290	-	WP_059224773.1	WP_059224773.1		hypothetical protein		66506320	JRC41_RS00035	657	218	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	8567	9256	+					dgoR	66506321	JRC41_RS00040	690		old_locus_tag=JRC41_00040
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	8567	9256	+	WP_000174314.1	WP_000174314.1		D-galactonate utilization transcriptional regulator DgoR	dgoR	66506321	JRC41_RS00040	690	229	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	9253	10131	+					dgoK	66506322	JRC41_RS00045	879		old_locus_tag=JRC41_00045
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	9253	10131	+	WP_059236298.1	WP_059236298.1		2-dehydro-3-deoxygalactonokinase	dgoK	66506322	JRC41_RS00045	879	292	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	10115	10732	+					dgoA	66506323	JRC41_RS00050	618		old_locus_tag=JRC41_00050
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	10115	10732	+	WP_059236300.1	WP_059236300.1		2-dehydro-3-deoxy-6-phosphogalactonate aldolase	dgoA	66506323	JRC41_RS00050	618	205	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	10729	11877	+					dgoD	66506324	JRC41_RS00055	1149		old_locus_tag=JRC41_00055
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	10729	11877	+	WP_208631087.1	WP_208631087.1		galactonate dehydratase	dgoD	66506324	JRC41_RS00055	1149	382	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	11952	13289	+						66506325	JRC41_RS00060	1338		old_locus_tag=JRC41_00060
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	11952	13289	+	WP_000253453.1	WP_000253453.1		D-galactonate transporter		66506325	JRC41_RS00060	1338	445	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	13250	14350	-					cbrA	66506326	JRC41_RS00065	1101		old_locus_tag=JRC41_00065
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	13250	14350	-	WP_059236316.1	WP_059236316.1		colicin M resistance lipid reductase CbrA	cbrA	66506326	JRC41_RS00065	1101	366	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	14451	15665	+						66506327	JRC41_RS00070	1215		old_locus_tag=JRC41_00070
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	14451	15665	+	WP_059236302.1	WP_059236302.1		DUF3748 domain-containing protein		66506327	JRC41_RS00070	1215	404	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	15667	15999	-						66506328	JRC41_RS00075	333		old_locus_tag=JRC41_00075
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	15667	15999	-	WP_072244629.1	WP_072244629.1		YceK/YidQ family lipoprotein		66506328	JRC41_RS00075	333	110	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	16305	16718	+					ibpA	66506329	JRC41_RS00080	414		old_locus_tag=JRC41_00080
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	16305	16718	+	WP_001243437.1	WP_001243437.1		heat shock chaperone IbpA	ibpA	66506329	JRC41_RS00080	414	137	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	16830	17258	+					ibpB	66506330	JRC41_RS00085	429		old_locus_tag=JRC41_00085
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	16830	17258	+	WP_001132433.1	WP_001132433.1		heat shock chaperone IbpB	ibpB	66506330	JRC41_RS00085	429	142	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	17453	19114	+						66506331	JRC41_RS00090	1662		old_locus_tag=JRC41_00090
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	17453	19114	+	WP_059236303.1	WP_059236303.1		putative transporter		66506331	JRC41_RS00090	1662	553	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	19111	19827	-						66506332	JRC41_RS00095	717		old_locus_tag=JRC41_00095
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	19111	19827	-	WP_059236305.1	WP_059236305.1		GntR family transcriptional regulator		66506332	JRC41_RS00095	717	238	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	20122	21738	+						66506333	JRC41_RS00100	1617		old_locus_tag=JRC41_00100
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	20122	21738	+	WP_059221935.1	WP_059221935.1		PTS sugar transporter subunit IIB		66506333	JRC41_RS00100	1617	538	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	21738	23060	+						66506334	JRC41_RS00105	1323		old_locus_tag=JRC41_00105
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	21738	23060	+	WP_059236307.1	WP_059236307.1		6-phospho-alpha-glucosidase		66506334	JRC41_RS00105	1323	440	
gene	pseudogene	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	23057	23242	-						66506335	JRC41_RS00110	186		partial;pseudo;old_locus_tag=JRC41_00110
CDS	without_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	23057	23242	-				AraC family transcriptional regulator		66506335	JRC41_RS00110	186		partial;pseudo
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	23277	23726	-						66506336	JRC41_RS00115	450		old_locus_tag=JRC41_00115
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	23277	23726	-	WP_059236309.1	WP_059236309.1		hypothetical protein		66506336	JRC41_RS00115	450	149	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	23835	24182	+						66506337	JRC41_RS00120	348		old_locus_tag=JRC41_00120
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	23835	24182	+	WP_000703955.1	WP_000703955.1		YidH family protein		66506337	JRC41_RS00120	348	115	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	24172	24534	+						66506338	JRC41_RS00125	363		old_locus_tag=JRC41_00125
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	24172	24534	+	WP_001113433.1	WP_001113433.1		DUF202 domain-containing protein		66506338	JRC41_RS00125	363	120	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	24531	25028	+						66506339	JRC41_RS00130	498		old_locus_tag=JRC41_00130
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	24531	25028	+	WP_054410691.1	WP_054410691.1		radical SAM protein		66506339	JRC41_RS00130	498	165	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	25036	26220	-					emrD	66506340	JRC41_RS00135	1185		old_locus_tag=JRC41_00135
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	25036	26220	-	WP_024164674.1	WP_024164674.1		multidrug efflux MFS transporter EmrD	emrD	66506340	JRC41_RS00135	1185	394	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	26622	26720	+					ivbL	66506341	JRC41_RS00140	99		old_locus_tag=JRC41_00140
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	26622	26720	+	WP_032275147.1	WP_032275147.1		ilvB operon leader peptide IvbL	ivbL	66506341	JRC41_RS00140	99	32	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	26828	28540	+					ilvB	66506342	JRC41_RS00145	1713		old_locus_tag=JRC41_00145
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	26828	28540	+	WP_059236311.1	WP_059236311.1		acetolactate synthase large subunit	ilvB	66506342	JRC41_RS00145	1713	570	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	28521	28811	+					ilvN	66506343	JRC41_RS00150	291		old_locus_tag=JRC41_00150
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	28521	28811	+	WP_001181706.1	WP_001181706.1		acetolactate synthase small subunit	ilvN	66506343	JRC41_RS00150	291	96	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	28884	29474	+					uhpA	66506344	JRC41_RS00155	591		old_locus_tag=JRC41_00155
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	28884	29474	+	WP_000633660.1	WP_000633660.1		transcriptional regulator UhpA	uhpA	66506344	JRC41_RS00155	591	196	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	29474	30976	+					uhpB	66506345	JRC41_RS00160	1503		old_locus_tag=JRC41_00160
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	29474	30976	+	WP_054410693.1	WP_054410693.1		signal transduction histidine-protein kinase/phosphatase UhpB	uhpB	66506345	JRC41_RS00160	1503	500	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	30986	32305	+					uhpC	66506346	JRC41_RS00165	1320		old_locus_tag=JRC41_00165
CDS	with_protein	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	30986	32305	+	WP_010341095.1	WP_010341095.1		MFS transporter family glucose-6-phosphate receptor UhpC	uhpC	66506346	JRC41_RS00165	1320	439	
gene	protein_coding	GCF_016904755.1	Primary Assembly	chromosome		NZ_CP070290.1	32447	33838	+					uhpT	66506347	JRC41_RS00170	1392		old_locus_tag=JRC41_00170
