# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	944	2791	+						6214988	SGR_RS00015	1848		old_locus_tag=SGR_1t
CDS	with_protein	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	944	2791	+	WP_106431650.1	WP_106431650.1		AAA family ATPase		6214988	SGR_RS00015	1848	615	
gene	protein_coding	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	3551	3919	+						23452906	SGR_RS00020	369		old_locus_tag=SGR_2t
CDS	with_protein	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	3551	3919	+	WP_143053728.1	WP_143053728.1		hypothetical protein		23452906	SGR_RS00020	369	122	
gene	protein_coding	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	4042	4353	-						6215248	SGR_RS00025	312		old_locus_tag=SGR_3t
CDS	with_protein	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	4042	4353	-	WP_012377421.1	WP_012377421.1		hypothetical protein		6215248	SGR_RS00025	312	103	
gene	protein_coding	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	4441	5283	-						6209245	SGR_RS00030	843		old_locus_tag=SGR_4t
CDS	with_protein	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	4441	5283	-	WP_012377422.1	WP_012377422.1		helix-turn-helix transcriptional regulator		6209245	SGR_RS00030	843	280	
gene	protein_coding	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	5280	5813	-						6214570	SGR_RS00035	534		old_locus_tag=SGR_5t
CDS	with_protein	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	5280	5813	-	WP_012377423.1	WP_012377423.1		hypothetical protein		6214570	SGR_RS00035	534	177	
gene	protein_coding	GCF_000010605.1	Primary Assembly	chromosome		NC_010572.1	5816	6019	-						6210881	SGR_RS00040	204		old_locus_tag=SGR_6t
