# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	346	2235	+					mnmG		N559_RS00005	1890		old_locus_tag=N559_0001
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	346	2235	+	WP_004144989.1	WP_004144989.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG		N559_RS00005	1890	629	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	2351	2974	+					rsmG		N559_RS00010	624		old_locus_tag=N559_0002
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	2351	2974	+	WP_004151554.1	WP_004151554.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		N559_RS00010	624	207	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	3591	3971	+					atpI		N559_RS00015	381		old_locus_tag=N559_0003
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	3591	3971	+	WP_004144991.1	WP_004144991.1		F0F1 ATP synthase subunit I	atpI		N559_RS00015	381	126	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	3979	4794	+					atpB		N559_RS00020	816		old_locus_tag=N559_0004
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	3979	4794	+	WP_004151552.1	WP_004151552.1		F0F1 ATP synthase subunit A	atpB		N559_RS00020	816	271	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	4844	5083	+					atpE		N559_RS00025	240		old_locus_tag=N559_0005
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	4844	5083	+	WP_000429386.1	WP_000429386.1		F0F1 ATP synthase subunit C	atpE		N559_RS00025	240	79	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	5134	5604	+					atpF		N559_RS00030	471		old_locus_tag=N559_0006
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	5134	5604	+	WP_004107293.1	WP_004107293.1		F0F1 ATP synthase subunit B	atpF		N559_RS00030	471	156	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	5619	6152	+					atpH		N559_RS00035	534		old_locus_tag=N559_0007
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	5619	6152	+	WP_004144994.1	WP_004144994.1		F0F1 ATP synthase subunit delta	atpH		N559_RS00035	534	177	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	6165	7706	+					atpA		N559_RS00040	1542		old_locus_tag=N559_0008
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	6165	7706	+	WP_004151551.1	WP_004151551.1		F0F1 ATP synthase subunit alpha	atpA		N559_RS00040	1542	513	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	7757	8620	+					atpG		N559_RS00045	864		old_locus_tag=N559_0009
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	7757	8620	+	WP_004144996.1	WP_004144996.1		F0F1 ATP synthase subunit gamma	atpG		N559_RS00045	864	287	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	8647	10029	+					atpD		N559_RS00050	1383		old_locus_tag=N559_0010
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	8647	10029	+	WP_004144997.1	WP_004144997.1		F0F1 ATP synthase subunit beta	atpD		N559_RS00050	1383	460	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10050	10469	+					atpC		N559_RS00055	420		old_locus_tag=N559_0011
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10050	10469	+	WP_001251971.1	WP_001251971.1		F0F1 ATP synthase subunit epsilon	atpC		N559_RS00055	420	139	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10623	10745	-							N559_RS30640	123		old_locus_tag=N559_0012
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10623	10745	-	WP_004217800.1	WP_004217800.1		hypothetical protein			N559_RS30640	123	40	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10727	10846	-							N559_RS30645	120		
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10727	10846	-	WP_004144999.1	WP_004144999.1		hypothetical protein			N559_RS30645	120	39	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10882	11043	-							N559_RS30650	162		old_locus_tag=N559_0013
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	10882	11043	-	WP_004217798.1	WP_004217798.1		hypothetical protein			N559_RS30650	162	53	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	11165	12535	+					glmU		N559_RS00075	1371		old_locus_tag=N559_0014
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	11165	12535	+	WP_004151550.1	WP_004151550.1		bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU		N559_RS00075	1371	456	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	12719	14548	+					glmS		N559_RS00080	1830		old_locus_tag=N559_0015
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	12719	14548	+	WP_004151549.1	WP_004151549.1		glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS		N559_RS00080	1830	609	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	14885	15925	+					pstS		N559_RS00085	1041		old_locus_tag=N559_0016
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	14885	15925	+	WP_004150308.1	WP_004150308.1		phosphate ABC transporter substrate-binding protein PstS	pstS		N559_RS00085	1041	346	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	16054	17013	+					pstC		N559_RS00090	960		old_locus_tag=N559_0017
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	16054	17013	+	WP_004145004.1	WP_004145004.1		phosphate ABC transporter permease PstC	pstC		N559_RS00090	960	319	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	17013	17903	+					pstA		N559_RS00095	891		old_locus_tag=N559_0018
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	17013	17903	+	WP_004151547.1	WP_004151547.1		phosphate ABC transporter permease PstA	pstA		N559_RS00095	891	296	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	17951	18724	+					pstB		N559_RS00100	774		old_locus_tag=N559_0019
CDS	with_protein	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	17951	18724	+	WP_004145006.1	WP_004145006.1		phosphate ABC transporter ATP-binding protein PstB	pstB		N559_RS00100	774	257	
gene	protein_coding	GCF_000445405.1	Primary Assembly	chromosome		NC_022082.1	18775	19500	+					phoU		N559_RS00105	726		old_locus_tag=N559_0020
