# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	130	1650	+					dnaA		CCUR_RS00005	1521		old_locus_tag=Ccur_00010
CDS	with_protein	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	130	1650	+	WP_012802427.1	WP_012802427.1		chromosomal replication initiator protein DnaA	dnaA		CCUR_RS00005	1521	506	
gene	protein_coding	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	1872	2969	+					dnaN		CCUR_RS00010	1098		old_locus_tag=Ccur_00020
CDS	with_protein	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	1872	2969	+	WP_012802428.1	WP_012802428.1		DNA polymerase III subunit beta	dnaN		CCUR_RS00010	1098	365	
gene	protein_coding	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	2977	4113	+							CCUR_RS00015	1137		old_locus_tag=Ccur_00030
CDS	with_protein	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	2977	4113	+	WP_012802429.1	WP_012802429.1		DNA replication/repair protein RecF			CCUR_RS00015	1137	378	
gene	protein_coding	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	4103	4654	+							CCUR_RS00020	552		old_locus_tag=Ccur_00040
CDS	with_protein	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	4103	4654	+	WP_012802430.1	WP_012802430.1		DciA family protein			CCUR_RS00020	552	183	
gene	protein_coding	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	4816	6753	+					gyrB		CCUR_RS00025	1938		old_locus_tag=Ccur_00050
CDS	with_protein	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	4816	6753	+	WP_012802431.1	WP_012802431.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CCUR_RS00025	1938	645	
gene	protein_coding	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	6953	9409	+					gyrA		CCUR_RS00030	2457		old_locus_tag=Ccur_00060
CDS	with_protein	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	6953	9409	+	WP_245526121.1	WP_245526121.1		DNA gyrase subunit A	gyrA		CCUR_RS00030	2457	818	
gene	tRNA	GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	9520	9596	+							CCUR_RS00035	77		old_locus_tag=Ccur_00070
tRNA		GCF_000023845.1	Primary Assembly	chromosome		NC_013170.1	9520	9596	+				tRNA-Ile			CCUR_RS00035	77		anticodon=GAT
