# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	47	847	+							OLSU_RS00010	801		old_locus_tag=Olsu_0001
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	47	847	+	WP_013250888.1	WP_013250888.1		AAA family ATPase			OLSU_RS00010	801	266	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	840	1709	+							OLSU_RS00015	870		old_locus_tag=Olsu_0002
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	840	1709	+	WP_041548724.1	WP_041548724.1		ParB/RepB/Spo0J family partition protein			OLSU_RS00015	870	289	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	2069	3148	-					rlmN		OLSU_RS00025	1080		old_locus_tag=Olsu_0003
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	2069	3148	-	WP_013250890.1	WP_013250890.1		23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	rlmN		OLSU_RS00025	1080	359	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	3261	4253	+							OLSU_RS00030	993		old_locus_tag=Olsu_0004
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	3261	4253	+	WP_013250891.1	WP_013250891.1		D-alanine--D-alanine ligase			OLSU_RS00030	993	330	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	4254	7259	+							OLSU_RS00035	3006		old_locus_tag=Olsu_0005
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	4254	7259	+	WP_013250892.1	WP_013250892.1		exonuclease domain-containing protein			OLSU_RS00035	3006	1001	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	7282	8238	-							OLSU_RS00040	957		old_locus_tag=Olsu_0006
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	7282	8238	-	WP_013250893.1	WP_013250893.1		WYL domain-containing protein			OLSU_RS00040	957	318	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	8228	9220	-							OLSU_RS00045	993		old_locus_tag=Olsu_0007
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	8228	9220	-	WP_013250894.1	WP_013250894.1		WYL domain-containing protein			OLSU_RS00045	993	330	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	9388	13077	+							OLSU_RS00050	3690		old_locus_tag=Olsu_0008
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	9388	13077	+	WP_013250895.1	WP_013250895.1		M28 family peptidase			OLSU_RS00050	3690	1229	
gene	tRNA	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	13122	13196	+							OLSU_RS00055	75		old_locus_tag=Olsu_R0001
tRNA		GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	13122	13196	+				tRNA-Gly			OLSU_RS00055	75		anticodon=CCC
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	13244	14527	+							OLSU_RS00060	1284		old_locus_tag=Olsu_0009
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	13244	14527	+	WP_013250896.1	WP_013250896.1		aminopeptidase			OLSU_RS00060	1284	427	
gene	tRNA	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	14581	14656	+							OLSU_RS00065	76		old_locus_tag=Olsu_R0002
tRNA		GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	14581	14656	+				tRNA-Lys			OLSU_RS00065	76		anticodon=TTT
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	14964	16010	+							OLSU_RS00070	1047		old_locus_tag=Olsu_0010
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	14964	16010	+	WP_013250897.1	WP_013250897.1		phosphoglycerate dehydrogenase			OLSU_RS00070	1047	348	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	16385	17014	+							OLSU_RS00075	630		old_locus_tag=Olsu_0011
CDS	with_protein	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	16385	17014	+	WP_013250898.1	WP_013250898.1		bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase			OLSU_RS00075	630	209	
gene	protein_coding	GCF_000143845.1	Primary Assembly	chromosome		NC_014363.1	17048	17506	+							OLSU_RS00080	459		old_locus_tag=Olsu_0012
