# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	4584090	11	+							HVX45_RS00005	276		old_locus_tag=HVX45_00005
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	4584090	11	+	WP_000027664.1	WP_000027664.1		DUF5405 family protein			HVX45_RS00005	276	91	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	1	2268	+							HVX45_RS00010	2268		old_locus_tag=HVX45_00010
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	1	2268	+	WP_053264580.1	WP_053264580.1		replication endonuclease			HVX45_RS00010	2268	755	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	2352	3674	+							HVX45_RS00015	1323		old_locus_tag=HVX45_00015
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	2352	3674	+	WP_053264581.1	WP_053264581.1		HEPN domain-containing protein			HVX45_RS00015	1323	440	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	3804	3965	+							HVX45_RS00020	162		old_locus_tag=HVX45_00020
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	3804	3965	+	WP_181668665.1	WP_181668665.1		hypothetical protein			HVX45_RS00020	162	53	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	4004	5038	-							HVX45_RS00025	1035		old_locus_tag=HVX45_00025
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	4004	5038	-	WP_000038182.1	WP_000038182.1		phage portal protein			HVX45_RS00025	1035	344	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	5038	6810	-							HVX45_RS00030	1773		old_locus_tag=HVX45_00030
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	5038	6810	-	WP_181816956.1	WP_181816956.1		terminase ATPase subunit family protein			HVX45_RS00030	1773	590	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	6984	7838	+							HVX45_RS00035	855		old_locus_tag=HVX45_00035
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	6984	7838	+	WP_001085970.1	WP_001085970.1		GPO family capsid scaffolding protein			HVX45_RS00035	855	284	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	7897	8970	+							HVX45_RS00040	1074		old_locus_tag=HVX45_00040
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	7897	8970	+	WP_181668666.1	WP_181668666.1		phage major capsid protein, P2 family			HVX45_RS00040	1074	357	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	8974	9717	+							HVX45_RS00045	744		old_locus_tag=HVX45_00045
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	8974	9717	+	WP_181668667.1	WP_181668667.1		terminase endonuclease subunit			HVX45_RS00045	744	247	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	9817	10326	+							HVX45_RS00050	510		old_locus_tag=HVX45_00050
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	9817	10326	+	WP_000988633.1	WP_000988633.1		head completion/stabilization protein			HVX45_RS00050	510	169	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	10326	10529	+							HVX45_RS00055	204		old_locus_tag=HVX45_00055
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	10326	10529	+	WP_053919916.1	WP_053919916.1		tail protein X			HVX45_RS00055	204	67	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	10533	10814	+							HVX45_RS00060	282		old_locus_tag=HVX45_00060
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	10533	10814	+	WP_000123124.1	WP_000123124.1		phage holin family protein			HVX45_RS00060	282	93	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	10814	11311	+							HVX45_RS00065	498		old_locus_tag=HVX45_00065
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	10814	11311	+	WP_001144101.1	WP_001144101.1		glycoside hydrolase family 104 protein			HVX45_RS00065	498	165	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	11326	11751	+							HVX45_RS00070	426		old_locus_tag=HVX45_00070
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	11326	11751	+	WP_181668668.1	WP_181668668.1		DNZ54_00345 family protein			HVX45_RS00070	426	141	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	11739	12164	+					lysB		HVX45_RS23325	426		old_locus_tag=HVX45_00075
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	11739	12164	+	WP_001374011.1	WP_001374011.1		Rz-like lysis system protein LysB	lysB		HVX45_RS23325	426	141	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	12046	12309	+					lysC		HVX45_RS23245	264		old_locus_tag=HVX45_00080
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	12046	12309	+	WP_225855581.1	WP_225855581.1		Rz1-like lysis system protein LysC	lysC		HVX45_RS23245	264	87	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	12272	12739	+							HVX45_RS00085	468		old_locus_tag=HVX45_00085
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	12272	12739	+	WP_000917158.1	WP_000917158.1		phage tail protein			HVX45_RS00085	468	155	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	12732	13184	+							HVX45_RS00090	453		old_locus_tag=HVX45_00090
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	12732	13184	+	WP_001001786.1	WP_001001786.1		phage virion morphogenesis protein			HVX45_RS00090	453	150	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	13251	13886	+							HVX45_RS00095	636		old_locus_tag=HVX45_00095
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	13251	13886	+	WP_029397140.1	WP_029397140.1		phage baseplate assembly protein V			HVX45_RS00095	636	211	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	13883	14230	+							HVX45_RS00100	348		old_locus_tag=HVX45_00100
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	13883	14230	+	WP_181816957.1	WP_181816957.1		GPW/gp25 family protein			HVX45_RS00100	348	115	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	14235	15143	+							HVX45_RS00105	909		old_locus_tag=HVX45_00105
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	14235	15143	+	WP_130090674.1	WP_130090674.1		baseplate assembly protein			HVX45_RS00105	909	302	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	15136	15666	+							HVX45_RS00110	531		old_locus_tag=HVX45_00110
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	15136	15666	+	WP_029397137.1	WP_029397137.1		phage tail protein I			HVX45_RS00110	531	176	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	15677	17455	+							HVX45_RS00115	1779		old_locus_tag=HVX45_00115
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	15677	17455	+	WP_000111617.1	WP_000111617.1		phage tail protein			HVX45_RS00115	1779	592	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	17455	18033	+							HVX45_RS00120	579		old_locus_tag=HVX45_00120
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	17455	18033	+	WP_130090673.1	WP_130090673.1		tail fiber assembly protein			HVX45_RS00120	579	192	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	18044	18316	+							HVX45_RS00125	273		old_locus_tag=HVX45_00125
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	18044	18316	+	WP_104919614.1	WP_104919614.1		hypothetical protein			HVX45_RS00125	273	90	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	18519	18851	+							HVX45_RS00130	333		old_locus_tag=HVX45_00130
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	18519	18851	+	WP_130090672.1	WP_130090672.1		FlxA-like family protein			HVX45_RS00130	333	110	
gene	protein_coding	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	19302	20492	+							HVX45_RS00135	1191		old_locus_tag=HVX45_00135
CDS	with_protein	GCF_013892435.1	Primary Assembly	chromosome		NZ_CP057657.1	19302	20492	+	WP_001286725.1	WP_001286725.1		phage tail sheath protein			HVX45_RS00135	1191	396	
