# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	573	2966	+							CP974_RS00005	2394		old_locus_tag=CP974_00005
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	573	2966	+	WP_223844618.1	WP_223844618.1		DEAD/DEAH box helicase			CP974_RS00005	2394	797	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	3354	4376	-							CP974_RS00010	1023		old_locus_tag=CP974_00010
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	3354	4376	-	WP_031127989.1	WP_031127989.1		hypothetical protein			CP974_RS00010	1023	340	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	4367	5860	-							CP974_RS00015	1494		old_locus_tag=CP974_00015
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	4367	5860	-	WP_031127988.1	WP_031127988.1		MATE family efflux transporter			CP974_RS00015	1494	497	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	6298	6465	+							CP974_RS29360	168		
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	6298	6465	+	WP_157840064.1	WP_157840064.1		hypothetical protein			CP974_RS29360	168	55	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	6592	8364	+							CP974_RS00020	1773		old_locus_tag=CP974_00020
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	6592	8364	+	WP_031127987.1	WP_031127987.1		M3 family metallopeptidase			CP974_RS00020	1773	590	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	8361	9026	+							CP974_RS00025	666		old_locus_tag=CP974_00025
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	8361	9026	+	WP_140160845.1	WP_140160845.1		class I SAM-dependent methyltransferase			CP974_RS00025	666	221	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	9010	9555	+							CP974_RS00030	546		old_locus_tag=CP974_00030
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	9010	9555	+	WP_031127985.1	WP_031127985.1		hypothetical protein			CP974_RS00030	546	181	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	9545	10216	+							CP974_RS00035	672		old_locus_tag=CP974_00035
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	9545	10216	+	WP_181018070.1	WP_181018070.1		DUF6445 family protein			CP974_RS00035	672	223	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	10227	10940	+							CP974_RS00040	714		old_locus_tag=CP974_00040
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	10227	10940	+	WP_051838822.1	WP_051838822.1		pentapeptide repeat-containing protein			CP974_RS00040	714	237	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	10940	12175	+							CP974_RS00045	1236		old_locus_tag=CP974_00045
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	10940	12175	+	WP_051838821.1	WP_051838821.1		hypothetical protein			CP974_RS00045	1236	411	
gene	protein_coding	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	12322	13440	+							CP974_RS00050	1119		old_locus_tag=CP974_00050
CDS	with_protein	GCF_008704425.1	Primary Assembly	chromosome		NZ_CP023696.1	12322	13440	+	WP_158100699.1	WP_158100699.1		PQQ-binding-like beta-propeller repeat protein			CP974_RS00050	1119	372	
