# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	2	1354	+					dnaA		RXYL_RS00005	1353		old_locus_tag=Rxyl_0001
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	2	1354	+	WP_011563000.1	WP_011563000.1		chromosomal replication initiator protein DnaA	dnaA		RXYL_RS00005	1353	450	
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	1853	2980	+					dnaN		RXYL_RS00010	1128		old_locus_tag=Rxyl_0002
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	1853	2980	+	WP_011563001.1	WP_011563001.1		DNA polymerase III subunit beta	dnaN		RXYL_RS00010	1128	375	
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	2980	3174	+							RXYL_RS00015	195		old_locus_tag=Rxyl_0003
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	2980	3174	+	WP_011563002.1	WP_011563002.1		RNA-binding S4 domain-containing protein			RXYL_RS00015	195	64	
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	3171	4295	+					recF		RXYL_RS00020	1125		old_locus_tag=Rxyl_0004
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	3171	4295	+	WP_011563003.1	WP_011563003.1		DNA replication and repair protein RecF	recF		RXYL_RS00020	1125	374	
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	4458	6392	+					gyrB		RXYL_RS00025	1935		old_locus_tag=Rxyl_0005
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	4458	6392	+	WP_011563004.1	WP_011563004.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		RXYL_RS00025	1935	644	
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	6385	8943	+					gyrA		RXYL_RS00030	2559		old_locus_tag=Rxyl_0006
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	6385	8943	+	WP_011563005.1	WP_011563005.1		DNA gyrase subunit A	gyrA		RXYL_RS00030	2559	852	
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	8936	9358	+							RXYL_RS00035	423		
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	8936	9358	+	WP_156787567.1	WP_156787567.1		hypothetical protein			RXYL_RS00035	423	140	
gene	protein_coding	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	9424	10590	+							RXYL_RS00040	1167		old_locus_tag=Rxyl_0007
CDS	with_protein	GCF_000014185.1	Primary Assembly	chromosome		NC_008148.1	9424	10590	+	WP_041327993.1	WP_041327993.1		NYN domain-containing protein			RXYL_RS00040	1167	388	
