# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	3184644	165	+						64211616	I6I08_RS00005	243		old_locus_tag=I6I08_00005
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	3184644	165	+	WP_075379422.1	WP_075379422.1		type II toxin-antitoxin system ParD family antitoxin		64211616	I6I08_RS00005	243	80	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	162	452	+						64211617	I6I08_RS00010	291		old_locus_tag=I6I08_00010
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	162	452	+	WP_141406424.1	WP_141406424.1		type II toxin-antitoxin system RelE/ParE family toxin		64211617	I6I08_RS00010	291	96	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	552	1523	+						64211618	I6I08_RS00015	972		old_locus_tag=I6I08_00015
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	552	1523	+	WP_141406425.1	WP_141406425.1		diaminopimelate dehydrogenase		64211618	I6I08_RS00015	972	323	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	1596	2675	-						64211619	I6I08_RS00020	1080		old_locus_tag=I6I08_00020
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	1596	2675	-	WP_141406426.1	WP_141406426.1		glycosyltransferase family 2 protein		64211619	I6I08_RS00020	1080	359	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	2819	3892	+						64211620	I6I08_RS00025	1074		old_locus_tag=I6I08_00025
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	2819	3892	+	WP_141406427.1	WP_141406427.1		glycosyltransferase family 2 protein		64211620	I6I08_RS00025	1074	357	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	3889	4941	+						64211621	I6I08_RS00030	1053		old_locus_tag=I6I08_00030
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	3889	4941	+	WP_141406428.1	WP_141406428.1		glycosyltransferase		64211621	I6I08_RS00030	1053	350	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	5129	6394	-						64211622	I6I08_RS00035	1266		old_locus_tag=I6I08_00035
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	5129	6394	-	WP_141406429.1	WP_141406429.1		hypothetical protein		64211622	I6I08_RS00035	1266	421	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	6509	7168	-						64211623	I6I08_RS00040	660		old_locus_tag=I6I08_00040
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	6509	7168	-	WP_075254898.1	WP_075254898.1		chain-length determining protein		64211623	I6I08_RS00040	660	219	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	7411	8193	-						64211624	I6I08_RS00045	783		old_locus_tag=I6I08_00045
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	7411	8193	-	WP_141406430.1	WP_141406430.1		TetR/AcrR family transcriptional regulator		64211624	I6I08_RS00045	783	260	
gene	protein_coding	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	8198	9418	-						64211625	I6I08_RS00050	1221		old_locus_tag=I6I08_00050
CDS	with_protein	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	8198	9418	-	WP_141406431.1	WP_141406431.1		acyltransferase		64211625	I6I08_RS00050	1221	406	
gene	tRNA	GCF_016127955.1	Primary Assembly	chromosome		NZ_CP066060.1	9650	9721	+						64211626	I6I08_RS00055	72		old_locus_tag=I6I08_00055
