# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	87	1463	+					dnaA		AFER_RS00005	1377		old_locus_tag=Afer_0001
CDS	with_protein	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	87	1463	+	WP_012784095.1	WP_012784095.1		chromosomal replication initiator protein DnaA	dnaA		AFER_RS00005	1377	458	
gene	protein_coding	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	1687	2787	+					dnaN		AFER_RS00010	1101		old_locus_tag=Afer_0002
CDS	with_protein	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	1687	2787	+	WP_012784096.1	WP_012784096.1		DNA polymerase III subunit beta	dnaN		AFER_RS00010	1101	366	
gene	protein_coding	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	2796	3836	+					recF		AFER_RS00015	1041		old_locus_tag=Afer_0003
CDS	with_protein	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	2796	3836	+	WP_012784097.1	WP_012784097.1		DNA replication and repair protein RecF	recF		AFER_RS00015	1041	346	
gene	protein_coding	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	3859	4161	+							AFER_RS10585	303		old_locus_tag=Afer_0004
CDS	with_protein	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	3859	4161	+	WP_143711876.1	WP_143711876.1		hypothetical protein			AFER_RS10585	303	100	
gene	protein_coding	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	4274	6190	+							AFER_RS00020	1917		old_locus_tag=Afer_0005
CDS	with_protein	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	4274	6190	+	WP_143711877.1	WP_143711877.1		type IIA DNA topoisomerase subunit B			AFER_RS00020	1917	638	
gene	protein_coding	GCF_000023265.1	Primary Assembly	chromosome		NC_013124.1	6222	8672	+					gyrA		AFER_RS00025	2451		old_locus_tag=Afer_0006
