# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	75	1517	+					dnaA		ACEL_RS00005	1443		old_locus_tag=Acel_0001
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	75	1517	+	WP_011718841.1	WP_011718841.1		chromosomal replication initiator protein DnaA	dnaA		ACEL_RS00005	1443	480	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	1921	3084	+					dnaN		ACEL_RS00010	1164		old_locus_tag=Acel_0002
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	1921	3084	+	WP_011718842.1	WP_011718842.1		DNA polymerase III subunit beta	dnaN		ACEL_RS00010	1164	387	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	3097	4212	+					recF		ACEL_RS00015	1116		old_locus_tag=Acel_0003
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	3097	4212	+	WP_011718843.1	WP_011718843.1		DNA replication/repair protein RecF	recF		ACEL_RS00015	1116	371	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	4202	4696	+							ACEL_RS11795	495		old_locus_tag=Acel_0004
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	4202	4696	+	WP_011718844.1	WP_011718844.1		DciA family protein			ACEL_RS11795	495	164	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	4944	6944	+					gyrB		ACEL_RS00025	2001		old_locus_tag=Acel_0005
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	4944	6944	+	WP_011718845.1	WP_011718845.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ACEL_RS00025	2001	666	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	6983	9487	+					gyrA		ACEL_RS00030	2505		old_locus_tag=Acel_0006
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	6983	9487	+	WP_011718846.1	WP_011718846.1		DNA gyrase subunit A	gyrA		ACEL_RS00030	2505	834	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	9582	10040	+							ACEL_RS00035	459		old_locus_tag=Acel_0007
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	9582	10040	+	WP_011718847.1	WP_011718847.1		DUF3566 domain-containing protein			ACEL_RS00035	459	152	
gene	tRNA	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10111	10184	+							ACEL_RS00040	74		old_locus_tag=Acel_R0001
tRNA		GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10111	10184	+				tRNA-Ile			ACEL_RS00040	74		anticodon=GAT
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10209	10340	+							ACEL_RS12495	132		
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10209	10340	+	WP_238378042.1	WP_238378042.1		DLW-39 family protein			ACEL_RS12495	132	43	
gene	tRNA	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10372	10444	+							ACEL_RS00045	73		old_locus_tag=Acel_R0002
tRNA		GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10372	10444	+				tRNA-Ala			ACEL_RS00045	73		anticodon=TGC
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10677	11309	+							ACEL_RS00050	633		old_locus_tag=Acel_0008
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	10677	11309	+	WP_011718848.1	WP_011718848.1		hypothetical protein			ACEL_RS00050	633	210	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	11347	11703	+							ACEL_RS00055	357		old_locus_tag=Acel_0009
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	11347	11703	+	WP_148204478.1	WP_148204478.1		hypothetical protein			ACEL_RS00055	357	118	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	11700	12020	+							ACEL_RS12060	321		old_locus_tag=Acel_0010
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	11700	12020	+	WP_011718850.1	WP_011718850.1		hypothetical protein			ACEL_RS12060	321	106	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	12206	12661	-							ACEL_RS00065	456		old_locus_tag=Acel_0011
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	12206	12661	-	WP_148204479.1	WP_148204479.1		hypothetical protein			ACEL_RS00065	456	151	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	12860	13405	+							ACEL_RS00070	546		old_locus_tag=Acel_0012
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	12860	13405	+	WP_041834835.1	WP_041834835.1		peptidylprolyl isomerase			ACEL_RS00070	546	181	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	13523	14272	+							ACEL_RS00075	750		old_locus_tag=Acel_0013
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	13523	14272	+	WP_202943371.1	WP_202943371.1		rhomboid family intramembrane serine protease			ACEL_RS00075	750	249	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	14416	14673	-					crgA		ACEL_RS00080	258		old_locus_tag=Acel_0014
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	14416	14673	-	WP_011718854.1	WP_011718854.1		cell division protein CrgA	crgA		ACEL_RS00080	258	85	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	14804	15595	+							ACEL_RS00085	792		old_locus_tag=Acel_0015
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	14804	15595	+	WP_011718855.1	WP_011718855.1		DUF881 domain-containing protein			ACEL_RS00085	792	263	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	15592	16341	+							ACEL_RS00090	750		old_locus_tag=Acel_0016
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	15592	16341	+	WP_011718856.1	WP_011718856.1		class E sortase			ACEL_RS00090	750	249	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	16346	16606	+							ACEL_RS00095	261		old_locus_tag=Acel_0017
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	16346	16606	+	WP_011718857.1	WP_011718857.1		hypothetical protein			ACEL_RS00095	261	86	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	16722	17351	+							ACEL_RS00100	630		old_locus_tag=Acel_0018
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	16722	17351	+	WP_041835119.1	WP_041835119.1		aminodeoxychorismate/anthranilate synthase component II			ACEL_RS00100	630	209	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	17343	19091	-					pknB		ACEL_RS00105	1749		old_locus_tag=Acel_0019
CDS	with_protein	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	17343	19091	-	WP_011718859.1	WP_011718859.1		Stk1 family PASTA domain-containing Ser/Thr kinase	pknB		ACEL_RS00105	1749	582	
gene	protein_coding	GCF_000015025.1	Primary Assembly	chromosome		NC_008578.1	19088	20545	-							ACEL_RS00110	1458		old_locus_tag=Acel_0020
