# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	1	1410	+							ER308_RS00005	1410		old_locus_tag=ER308_00005
CDS	with_protein	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	1	1410	+	WP_205745790.1	WP_205745790.1		ABC transporter substrate-binding protein			ER308_RS00005	1410	469	
gene	protein_coding	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	1493	2473	+							ER308_RS00010	981		old_locus_tag=ER308_00010
CDS	with_protein	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	1493	2473	+	WP_131153109.1	WP_131153109.1		sugar ABC transporter permease			ER308_RS00010	981	326	
gene	protein_coding	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	2470	3390	+							ER308_RS00015	921		old_locus_tag=ER308_00015
CDS	with_protein	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	2470	3390	+	WP_131153110.1	WP_131153110.1		carbohydrate ABC transporter permease			ER308_RS00015	921	306	
gene	protein_coding	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	3479	4495	-							ER308_RS00020	1017		old_locus_tag=ER308_00020
CDS	with_protein	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	3479	4495	-	WP_131153111.1	WP_131153111.1		LacI family transcriptional regulator			ER308_RS00020	1017	338	
gene	protein_coding	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	4595	5965	-							ER308_RS00025	1371		old_locus_tag=ER308_00025
CDS	with_protein	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	4595	5965	-	WP_131153112.1	WP_131153112.1		GH1 family beta-glucosidase			ER308_RS00025	1371	456	
gene	protein_coding	GCF_004322855.1	Primary Assembly	chromosome		NZ_CP036402.1	6257	6952	-							ER308_RS00030	696		old_locus_tag=ER308_00030
